"","theta","I","I.meas","ID"
"159",13.59,615.833333333333,739,1079
"160",13.6,644.166666666667,773,1079
"161",13.61,630,756,1079
"162",13.62,633.333333333333,760,1079
"163",13.63,697.5,837,1079
"164",13.64,614.166666666667,737,1079
"165",13.65,578.333333333333,694,1079
"166",13.66,616.666666666667,740,1079
"167",13.67,651.666666666667,782,1079
"168",13.68,614.166666666667,737,1079
"169",13.69,628.333333333333,754,1079
"170",13.7,580.833333333333,697,1079
"171",13.71,565.833333333333,679,1079
"172",13.72,562.5,675,1079
"173",13.73,613.333333333333,736,1079
"174",13.74,569.166666666667,683,1079
"175",13.75,585.833333333333,703,1079
"176",13.76,609.166666666667,731,1079
"177",13.77,562.5,675,1079
"178",13.78,596.666666666667,716,1079
"179",13.79,571.666666666667,686,1079
"180",13.8,520,624,1079
"181",13.81,575,690,1079
"182",13.82,527.5,633,1079
"183",13.83,552.5,663,1079
"184",13.84,527.5,633,1079
"185",13.85,505.833333333333,607,1079
"186",13.86,499.166666666667,599,1079
"187",13.87,495,594,1079
"188",13.88,478.333333333333,574,1079
"189",13.89,452.5,543,1079
"190",13.9,458.333333333333,550,1079
"191",13.91,446.666666666667,536,1079
"192",13.92,446.666666666667,536,1079
"193",13.93,429.166666666667,515,1079
"194",13.94,432.5,519,1079
"195",13.95,407.5,489,1079
"196",13.96,391.666666666667,470,1079
"197",13.97,413.333333333333,496,1079
"198",13.98,366.666666666667,440,1079
"199",13.99,388.333333333333,466,1079
"200",14,370.833333333333,445,1079
"201",14.01,371.666666666667,446,1079
"202",14.02,387.5,465,1079
"203",14.03,342.5,411,1079
"204",14.04,347.5,417,1079
"205",14.05,317.5,381,1079
"206",14.06,315.833333333333,379,1079
"207",14.07,350,420,1079
"208",14.08,291.666666666667,350,1079
"209",14.09,311.666666666667,374,1079
"210",14.1,297.5,357,1079
"211",14.11,287.5,345,1079
"212",14.12,309.166666666667,371,1079
"213",14.13,261.666666666667,314,1079
"214",14.14,255,306,1079
"215",14.15,256.666666666667,308,1079
"216",14.16,243.333333333333,292,1079
"217",14.17,290,348,1079
"218",14.18,234.166666666667,281,1079
"219",14.19,249.166666666667,299,1079
"220",14.2,239.166666666667,287,1079
"221",14.21,224.166666666667,269,1079
"222",14.22,239.166666666667,287,1079
"223",14.23,216.666666666667,260,1079
"224",14.24,230,276,1079
"225",14.25,210,252,1079
"226",14.26,236.666666666667,284,1079
"227",14.27,193.333333333333,232,1079
"228",14.28,204.166666666667,245,1079
"229",14.29,206.666666666667,248,1079
"230",14.3,230.833333333333,277,1079
"231",14.31,215.833333333333,259,1079
"232",14.32,190.833333333333,229,1079
"233",14.33,208.333333333333,250,1079
"234",14.34,197.5,237,1079
"235",14.35,213.333333333333,256,1079
"236",14.36,200,240,1079
"237",14.37,180,216,1079
"238",14.38,224.166666666667,269,1079
"239",14.39,202.5,243,1079
"240",14.4,226.666666666667,272,1079
"241",14.41,183.333333333333,220,1079
"242",14.42,227.5,273,1079
"243",14.43,220,264,1079
"244",14.44,196.666666666667,236,1079
"245",14.45,176.666666666667,212,1079
"246",14.46,190.833333333333,229,1079
"247",14.47,189.166666666667,227,1079
"248",14.48,197.5,237,1079
"249",14.49,204.166666666667,245,1079
"250",14.5,190,228,1079
"251",14.51,195.833333333333,235,1079
"252",14.52,196.666666666667,236,1079
"253",14.53,175.833333333333,211,1079
"254",14.54,205.833333333333,247,1079
"255",14.55,203.333333333333,244,1079
"256",14.56,208.333333333333,250,1079
"257",14.57,210.833333333333,253,1079
"258",14.58,208.333333333333,250,1079
"259",14.59,199.166666666667,239,1079
"260",14.6,207.5,249,1079
"261",14.61,192.5,231,1079
"262",14.62,195,234,1079
"263",14.63,206.666666666667,248,1079
"264",14.64,180,216,1079
"265",14.65,187.5,225,1079
"266",14.66,201.666666666667,242,1079
"267",14.67,191.666666666667,230,1079
"268",14.68,197.5,237,1079
"269",14.69,219.166666666667,263,1079
"270",14.7,215,258,1079
"271",14.71,195.833333333333,235,1079
"272",14.72,226.666666666667,272,1079
"273",14.73,175.833333333333,211,1079
"274",14.74,201.666666666667,242,1079
"275",14.75,200,240,1079
"276",14.76,202.5,243,1079
"277",14.77,203.333333333333,244,1079
"278",14.78,193.333333333333,232,1079
"279",14.79,180,216,1079
"280",14.8,195,234,1079
"281",14.81,208.333333333333,250,1079
"282",14.82,200,240,1079
"283",14.83,197.5,237,1079
"284",14.84,207.5,249,1079
"285",14.85,206.666666666667,248,1079
"286",14.86,195,234,1079
"287",14.87,202.5,243,1079
"288",14.88,194.166666666667,233,1079
"289",14.89,205.833333333333,247,1079
"290",14.9,191.666666666667,230,1079
"291",14.91,215,258,1079
"292",14.92,195,234,1079
"293",14.93,202.5,243,1079
"294",14.94,193.333333333333,232,1079
"295",14.95,166.666666666667,200,1079
"296",14.96,201.666666666667,242,1079
"297",14.97,210,252,1079
"298",14.98,172.5,207,1079
"299",14.99,194.166666666667,233,1079
"300",15,182.5,219,1079
